Date,Product,Quantity,Price,Region
2026-08-01,Laptop,2,55000,East
2026-08-02,Mouse,10,800,West
2026-08-03,Keyboard,5,1500,North
2026-08-04,Monitor,3,12000,South
2026-08-05,Laptop,1,55000,West
2026-08-06,Mouse,15,800,East
2026-08-07,Keyboard,8,1500,North
2026-08-08,Monitor,2,12000,South
2026-08-09,Laptop,3,55000,East
2026-08-10,Mouse,12,,West
2026-08-11,Keyboard,6,1500,North
2026-08-12,Monitor,4,12000,South
2026-08-13,Laptop,2,55000,West
2026-08-14,Mouse,9,800,East
2026-08-15,Keyboard,7,1500,North
2026-08-16,Monitor,3,12000,South
2026-08-17,Laptop,1,55000,East
2026-08-18,Mouse,11,800,West
2026-08-19,Keyboard,5,1500,North
2026-08-20,Monitor,2,12000,South
2026-08-21,Laptop,2,55000,East
2026-08-22,Mouse,8,800,West
2026-08-23,Keyboard,9,1500,North
2026-08-24,Monitor,3,12000,South
2026-08-24,Monitor,3,12000,South
